this_week,fsc,dam,last_year,river,last_week
35.1,4.3,Bellair Dam,67.4,Brak River,35.1
63.2,127.1,Berg River Dam,71.4,Berg River,61.7
33,286.1,Brandvlei Dam,55.8,Lower Brandvlei River,33.8
101.7,4.6,Buffeljags Dam,102.2,Buffeljags River,103.1
24.1,4.9,Bulshoek Dam,99.3,Olifants River,38.3
28,4.9,Calitzdorp Dam,87.7,Nels River,27.1
43,17.3,Ceres Dam,93.4,Koekedou River,42.8
41.3,122.5,Clanwilliam Dam,99.9,Olifants River,40.8
66.9,5.8,De Bos Dam,99.6,Onrus River,66.6
85.9,6.2,Duiwenhoks Dam,100.5,Duiwenhoks River,80.2
81.4,28.9,Eikenhof Dam,102.1,Palmiet River,81.7
37.1,11,Elandskloof Dam,92.3,Elands River,36.4
102.1,0.5,Ernest Robertson Dam,100.8,Groot Brak River,100.5
3.4,48.3,Floriskraal Dam,13.7,Buffels River,3.5
0,1.9,Gamka Dam,35.5,Gamka River,0
0,36.3,Gamkapoort Dam,4.4,Gamka River,0
53.5,10,Garden Route Dam,75.8,Swart River,51.6
23.5,4.7,Haarlem Dam,70.5,Groot River,19.9
13.9,7.2,Hartebeestkuil Dam,57.1,Hartenbos River,14.5
5.7,34.4,Kammanassie Dam,38.3,Kammanassie River,5.8
43.9,9.8,Keerom Dam,82.8,Nuy River,43.9
12.2,2,Klipberg Dam,60.9,Konings River,12.2
63.1,4.5,Klipheuwel Dam,98.4,Tributary of Hartenbos River,55.4
52.2,8.1,Korentepoort Dam,100.5,Korinte River,49.3
34,169.5,Kwaggaskloof Dam,55.4,Doorn River,34.2
82.5,10.3,Lakenvallei Dam,99.9,Sanddrifskloof River,82.6
6.2,13.6,Leeugamka Dam,23.5,Leeu River,7.9
0,1.5,Miertjieskraal Dam,16.2,Brand River,0
96.1,6.5,Misverstand Dam,107,Berg River,113.5
2.8,4.2,Oukloof Dam,28.7,Cordiers River,5.6
58.6,2,Pietersfontein Dam,85.6,Pietersfontein River,58.6
38.5,9.8,Poortjieskloof Dam,71.3,Groot River,38.6
11.4,2.3,Prinsrivier Dam,9.8,Prins River,12.7
36.8,7.8,Roode Els Berg Dam,100.2,Sanddrifskloof River,35.9
64.8,2,Roodefontein Dam,101.1,Piesang River,64.2
44.8,33.9,Steenbras Dam-Lower,66.7,Steenbras River,45.9
100,31.9,Steenbras Dam-Upper,96,Steenbras River,99.9
100.8,14.8,Stettynskloof Dam,100.5,Holsloot River,100.8
4.3,46.3,Stompdrift Dam,27.6,Olifants River,4.4
27.9,479.3,Theewaterskloof Dam,52.8,Riviersonderend River,28.2
27.2,158.6,Voelvlei Dam,69.3,Voelvlei River,27.3
44.9,58.8,Wemmershoek Dam,70.8,Wemmers River,44.4
80.4,24.7,Wolwedans Dam,100.2,Groot Brak River,79.7
